trial,file,d_mm,fs,N_raw,t_end_raw,t_start_A,t_start_B,t_start,B_preswing_mm,T,N,bin_Hz,halfbin_Hz,d_track_mm,A_mm,eta_leak,xi_leak,method,f1,f2,f1_early,f2_early,a_xi_early,f1_late,f2_late,a_xi_late,f1_rect,f2_rect,f1_hann,f2_hann,f1_hamming,f2_hamming,f1_blackman,f2_blackman,f1_winspread,f2_winspread,f1A_rect,f2A_rect,f1A_hann,f2A_hann,f1A_hamming,f2A_hamming,f1A_blackman,f2A_blackman,f1_A,f2_A,rA,f1_B,f2_B,rB,ratio_pred,T_beat_fft,T_beat_env,dT_beat_env,n_beats,tau_s,env_minmax
1,24.5_1.txt,24.5,119.38523465373709,1306,10.931,0.31,0.084,0.31,2.7799999999999994,10.621078927203097,1269,0.09415239326004474,0.04707619663002237,27.11846336214867,2.804056601958317,0.0286134482616916,0.03381317344508747,eta/xi,6.419406301627559,8.540313099876714,6.4183490134405226,8.540702097462242,1.9027214373331904,6.4204761937803925,8.539726809059607,1.4168879375577488,6.419406301627559,8.540313099876714,6.419476067246483,8.540302452545498,6.419449180474011,8.540309330668581,6.4194870060408284,8.540298505348625,4.0352206634786114e-05,7.297264044581198e-06,6.419439545011424,8.54020849437364,6.419437644466647,8.540319183634676,6.419437455401834,8.540266010768542,6.41943681386028,8.540296041789569,6.419437644466647,8.540319183634676,0.4813090545224997,6.41951670950622,8.540281866568815,0.5274643316824766,0.5649917974845377,0.47149643766784893,0.4719122633488464,0.0004117584355112246,21,26.195980875246807,0.32814125741606365
2,24.5_2.txt,24.5,119.37998549673675,1318,11.032,0.084,0.126,0.126,nan,10.906350797266514,1303,0.09168969700210197,0.045844848501050986,27.178456700686226,3.1156124507772303,0.005760044465243229,0.05600810185896267,eta/xi,6.4190894938492065,8.540947947676575,6.418573730823029,8.542925680842698,2.149413110187381,6.420037338463281,8.53988325856361,1.5812958403442732,6.4190894938492065,8.540947947676575,6.418915764414914,8.540836258977373,6.418964569497386,8.540876562655212,6.418913291716041,8.54082832085633,8.810106658252437e-05,5.98134101226222e-05,6.418615157666391,8.54292025251763,6.41894034949015,8.540766509967577,6.418833744981815,8.541463515528282,6.418940873074845,8.54075973471577,6.41894034949015,8.540766509967577,0.5013056503260872,6.418889405095191,8.540903220171998,0.5473966125155552,0.5648520522408975,0.47128497105743267,0.46872251427816836,0.0010011674762499378,23,31.570578438795028,0.33651566141032685
3,24.5_3.txt,24.5,119.38523465373709,1306,10.931,0.067,0.1,0.1,nan,10.830485057471261,1294,0.09233196802299855,0.046165984011499274,26.961146610105974,2.8261395732758574,0.011937675037557724,0.04808440130511578,eta/xi,6.419869948836316,8.54041543933724,6.418483935422992,8.540978459228473,1.9065251591928747,6.420754702588995,8.539082098503485,1.4066337863338592,6.419869948836316,8.54041543933724,6.419841939760349,8.540318760971589,6.419847220489136,8.540352730972455,6.419841331993612,8.540305738798999,1.43084213517497e-05,5.485026912044333e-05,6.419354473447259,8.54312048326303,6.419887545311017,8.540313912942363,6.419719070695385,8.541190760439989,6.41987656880087,8.540288358151313,6.419887545311017,8.540313912942363,0.4857103038194538,6.419794029727765,8.540324082945864,0.529830614257278,0.5650598720571246,0.47157677327816994,0.4685635152423787,0.001347502461581395,23,28.81354102037044,0.3574262718467934
4,24.5_4.txt,24.5,119.38523465373709,1306,10.931,0.084,0.159,0.159,nan,10.771851340996166,1287,0.09283455260788266,0.04641727630394133,27.19861728692763,3.1183339646658172,0.01884800860931062,0.043722756817184474,eta/xi,6.418374081644254,8.540954243350058,6.416736750588672,8.541966475958937,2.176642401350913,6.418136255055443,8.540093504379154,1.5936867721909307,6.418374081644254,8.540954243350058,6.4184816903167645,8.541006192477239,6.418443502883997,8.540997115926642,6.418519370344741,8.541030765438853,7.264435024367799e-05,3.826104439763611e-05,6.417744090307331,8.543071721274003,6.418557792653057,8.540917430047514,6.418303652300335,8.541578715764764,6.418610483163489,8.540951295488693,6.418557792653057,8.540917430047514,0.5135921759448762,6.418400592666784,8.541085300018054,0.5626169588808746,0.5647253203738518,0.47112472736782474,0.4683013023488255,0.0015885359826075785,23,27.991638492429075,0.3234319402825226
5,24.5_5.txt,24.5,119.38253562294481,1308,10.948,0.109,0.151,0.151,nan,10.797224177505743,1290,0.09261639691461969,0.046308198457309845,27.185688844074818,3.2363896773250773,0.017719498928530638,0.04780595774150604,eta/xi,6.419029860116188,8.541346442375042,6.41706960571543,8.542528447396396,2.2170086720073297,6.420492733863873,8.540082935492535,1.6221151818427595,6.419029860116188,8.541346442375042,6.418955963937132,8.541303866197996,6.4189731382821735,8.541322513185149,6.418958532940043,8.541318701832152,3.6948089527921724e-05,2.1288088523085946e-05,6.418512058129666,8.543895477658884,6.419071838112837,8.541237824830517,6.418893220581739,8.54204761764025,6.419107298217834,8.54126913967295,6.419071838112837,8.541237824830517,0.4936815849000983,6.418834927454003,8.54136743923673,0.5425200156038908,0.5647888533740472,0.4711832383346248,0.46749973986228033,0.0013414771166980666,23,29.552956759002,0.3478425634834794
1,26.5_1.txt,26.5,119.37842778793419,1307,10.94,0.117,0.168,0.168,nan,10.772465543644715,1287,0.09282925955515879,0.046414629777579396,28.98551872929738,3.0632968625574293,0.023057302531773856,0.05375249359071,eta/xi,6.4186354622745965,8.147074316970494,6.418189519994586,8.148747303735117,2.235066697528149,6.417568686760622,8.145312779206886,1.6193903353627426,6.4186354622745965,8.147074316970494,6.418652856713433,8.146941840954726,6.418644023886195,8.14698849156614,6.418647460640584,8.146906842549427,8.697219418429825e-06,8.37372105335632e-05,6.418407294056957,8.148102104352292,6.418724186750919,8.146953355831513,6.418615814868052,8.147336429633954,6.418739254208994,8.146924712180503,6.418724186750919,8.146953355831513,0.5452997290353125,6.418573793768847,8.146928173994693,0.6058796541310532,0.6207004590498586,0.5785567694704135,0.575172241476586,0.001649992085468962,18,32.8487417644609,0.29004529868347567
2,26.5_2.txt,26.5,119.38394240408275,1311,10.973,0.042,0.067,0.067,nan,10.905989312977105,1303,0.09169273610144599,0.045846368050722994,28.99590858362691,3.0868300988655735,0.022267263581187944,0.052230788561257124,eta/xi,6.419208247588814,8.147770110913784,6.419439499745232,8.148711538281772,2.2113902663758016,6.418707873322688,8.146559020568985,1.6171677448444914,6.419208247588814,8.147770110913784,6.4191953692674995,8.147630986695273,6.419195318170966,8.147680522444826,6.41919693030657,8.14763871097567,6.4647089237368505e-06,6.956210925590511e-05,6.418467884135501,8.150358552446072,6.419180452641154,8.147579336664986,6.418956860579097,8.148433524435783,6.419170041086716,8.147587555156425,6.419180452641154,8.147579336664986,0.5321839903323046,6.419211087640974,8.14768191207337,0.5967962822887913,0.6207052178299152,0.5785155979760265,0.5725005142627566,0.0021842783353060347,19,25.62410716578928,0.30919661756139477
3,26.5_3.txt,26.5,119.38253562294481,1308,10.948,0.101,0.168,0.168,nan,10.780471308339715,1288,0.09276032293935102,0.04638016146967551,28.625476266049244,2.7236155954582166,0.02126628838368354,0.06067535697576202,eta/xi,6.420139737277909,8.14673284116088,6.420957611903863,8.148575178721524,1.9209150125319154,6.419683896996979,8.14613551124558,1.4230573903254506,6.420139737277909,8.14673284116088,6.420008823028024,8.146469583302162,6.420046625340998,8.146558060058686,6.419993473509544,8.146447653199875,7.313188418223149e-05,0.00014259398050242567,6.419986909829217,8.147627710534135,6.420024177860627,8.14642047874778,6.420002528003428,8.14683125462677,6.420013882371757,8.146380538524198,6.420024177860627,8.14642047874778,0.528364623563897,6.419991513810297,8.146517934460016,0.5905640231225451,0.6210434881978447,0.5791752542918649,0.5758578343333471,0.0017574851468640123,18,34.656500249840924,0.32172846713756836
4,26.5_4.txt,26.5,119.38523465373709,1306,10.931,0.193,0.276,0.276,nan,10.65458390804601,1273,0.0938563165516798,0.0469281582758399,28.658104659853798,2.879909712404249,0.018568278341682377,0.06250412453435947,eta/xi,6.419934090770328,8.147557115722323,6.4193697304393345,8.15030630554504,2.07968382968512,6.4209172773327206,8.147211295944533,1.5233022697810206,6.419934090770328,8.147557115722323,6.419878221821135,8.147491865159608,6.419890749663628,8.147519081663606,6.4199038819404795,8.14750721070358,2.7934474596147396e-05,3.262528135739018e-05,6.419760766605602,8.147981125504522,6.4198567106874735,8.147391846210532,6.419814582868925,8.147611088724982,6.419881549879371,8.147358784826352,6.4198567106874735,8.147391846210532,0.5409270730202667,6.419901882365684,8.147587796321428,0.6021656978000556,0.6208780575336132,0.5788299794324554,0.5768293916784317,0.0017701461037012449,18,32.185339561774434,0.3156361016616943
5,26.5_5.txt,26.5,119.38253562294481,1308,10.948,0.302,0.369,0.369,nan,10.57943687834733,1264,0.09452298940850766,0.04726149470425383,28.758118389877026,2.7570386106063536,0.006526753423477127,0.0687513436915339,eta/xi,6.420076607543871,8.146164705386596,6.420255994411448,8.147299738548648,1.92269139257179,6.420407982044035,8.146118164367877,1.4346684358075974,6.420076607543871,8.146164705386596,6.419928306350069,8.146068937974407,6.419969867586663,8.146103613962179,6.419953506238322,8.146087855223248,7.415059690085712e-05,4.788370609443149e-05,6.419665263033174,8.147917415473682,6.419878496964896,8.146006103910642,6.4198050212792435,8.146642655480111,6.419887086036847,8.146036040208987,6.419878496964896,8.146006103910642,0.512246272207578,6.41998017242385,8.14613125640076,0.5715624684044047,0.6211179025750018,0.5793447050876522,0.5775772077477536,0.001771620803066671,18,34.29795300192722,0.33339114418535276
